STATION,NAME,DATE,PRCP_2010-2011,DATE,PRCP_2018-2019
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/2/2010,0,1/2/2018,0.66
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/3/2010,0,1/3/2018,1.22
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/4/2010,0,1/4/2018,0.22
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/8/2010,0,1/8/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/7/2010,0,3/7/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/7/2010,0.24,5/7/2018,0.8
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/1/2010,0,6/1/2018,1.2
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/2/2010,0,6/2/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/3/2010,0,6/3/2018,0.11
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/4/2010,1.3,6/4/2018,0.47
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/5/2010,0.7,6/5/2018,0.13
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/6/2010,0,6/6/2018,0.08
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/7/2010,0.75,6/7/2018,2.85
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/8/2010,0,6/8/2018,1.25
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/9/2010,0,6/9/2018,0.9
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/1/2010,0,7/1/2018,0.5
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/2/2010,0.13,7/2/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/3/2010,0,7/3/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/4/2010,0,7/4/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/5/2010,0.32,7/5/2018,0.38
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/6/2010,0,7/6/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/7/2010,0,7/7/2018,0.12
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/8/2010,0,7/8/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/9/2010,0,7/9/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/1/2010,0,8/1/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/2/2010,0.17,8/2/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/3/2010,0,8/3/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/4/2010,0,8/4/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/5/2010,0.01,8/5/2018,0.08
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/6/2010,0,8/6/2018,0.1
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/7/2010,0.19,8/7/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/8/2010,2.81,8/8/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/9/2010,2.19,8/9/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/1/2010,0,9/1/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/2/2010,0,9/2/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/4/2010,0,9/4/2018,0.8
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/5/2010,0,9/5/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/6/2010,0.51,9/6/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/7/2010,0.01,9/7/2018,0.12
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/8/2010,0.09,9/8/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/9/2010,0,9/9/2018,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/1/2011,0,1/1/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/2/2011,0,1/2/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/3/2011,0,1/3/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/4/2011,0,1/4/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/5/2011,0,1/5/2019,0.11
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/6/2011,0.19,1/6/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/7/2011,0,1/7/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/8/2011,0,1/8/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",1/9/2011,0,1/9/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/1/2011,0,2/1/2019,0.18
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/2/2011,0,2/2/2019,0.11
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/3/2011,0,2/3/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/4/2011,0,2/4/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/5/2011,0,2/5/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/6/2011,0.06,2/6/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/7/2011,0.01,2/7/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/8/2011,0.16,2/8/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",2/9/2011,0,2/9/2019,0.27
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/1/2011,0.01,3/1/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/2/2011,0.01,3/2/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/3/2011,0,3/3/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/4/2011,0,3/4/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/5/2011,0.36,3/5/2019,0.18
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/6/2011,0.01,3/6/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/7/2011,0.11,3/7/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/8/2011,0,3/8/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",3/9/2011,0,3/9/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/1/2011,1.77,4/1/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/2/2011,0,4/2/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/3/2011,0,4/3/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/4/2011,0,4/4/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/5/2011,0,4/5/2019,0.18
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/6/2011,0.6,4/6/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/7/2011,0,4/7/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/8/2011,0,4/8/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",4/9/2011,0,4/9/2019,0.32
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/1/2011,0,5/1/2019,0.01
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/2/2011,0,5/2/2019,0.1
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/3/2011,0,5/3/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/4/2011,0,5/4/2019,0.4
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/5/2011,0,5/5/2019,1.11
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/6/2011,0,5/6/2019,0.4
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/7/2011,0,5/7/2019,1.41
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/8/2011,0,5/8/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",5/9/2011,0,5/9/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/1/2011,0.37,6/1/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/2/2011,0,6/2/2019,1.02
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/3/2011,0,6/3/2019,0.21
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/4/2011,0,6/4/2019,0.11
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/5/2011,0,6/5/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/6/2011,0,6/6/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/7/2011,0,6/7/2019,0.91
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/8/2011,0,6/8/2019,1.52
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",6/9/2011,0,6/9/2019,2.62
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/1/2011,0.6,7/1/2019,0.2
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/2/2011,0.1,7/2/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/3/2011,0,7/3/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/4/2011,0,7/4/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/5/2011,0,7/5/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/6/2011,0,7/6/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/7/2011,0,7/7/2019,0.23
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/8/2011,0.5,7/8/2019,0.27
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",7/9/2011,0.12,7/9/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/1/2011,0,8/1/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/2/2011,0.08,8/2/2019,1.95
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/3/2011,1.14,8/3/2019,0.8
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/4/2011,0,8/4/2019,0.78
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/5/2011,0,8/5/2019,0.14
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/6/2011,0,8/6/2019,0.18
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/7/2011,0,8/7/2019,0.38
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/8/2011,0.4,8/8/2019,0.78
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",8/9/2011,1.19,8/9/2019,0.62
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/1/2011,0.15,9/1/2019,0.24
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/2/2011,0.08,9/2/2019,0
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/3/2011,0,9/3/2019,0.55
US1FLBV0012,"CAPE CANAVERAL 0.6 ESE, FL US",9/4/2011,0,9/4/2019,2.14
